avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure,gender,status,% Employed,% Left
221,engineering,0,0.932867640125,4,0,low,0.829896195856,5.0,M,Left,0.059880692723835886,0.9401193072761641
232,support,0,0.7184766791763917,3,0,low,0.83454379486,2.0,M,Employed,0.9721104009062922,0.027889599093707862
184,sales,0,0.7888298419059999,3,0,medium,0.83498761146,3.0,F,Employed,0.9923876222304199,0.007612377769580131
206,sales,0,0.5756879305479999,4,0,low,0.424764288455,2.0,M,Employed,0.990814992436065,0.00918500756393503
249,sales,0,0.8452174722229999,3,0,low,0.779043096207,3.0,M,Employed,0.9868108851195591,0.013189114880440915
140,sales,0,0.589097371097,4,0,medium,0.660019904653,4.0,M,Employed,0.9612100153965858,0.03878998460341415
121,sales,1,0.6253988297559999,3,0,low,0.8355705513320001,3.0,M,Employed,0.9852296602445498,0.014770339755450123
150,engineering,0,0.644585844252,4,0,low,0.7966833950409999,3.0,F,Employed,0.9958379025413493,0.00416209745865069
215,engineering,1,0.524113534303,3,0,medium,0.715005031778,7.0,M,Employed,0.8976132846904417,0.10238671530955822
269,support,0,0.909364329867,5,0,medium,0.994037397572,2.0,M,Employed,0.9994946729328483,0.0005053270671515786
147,sales,0,0.7184766791763917,2,0,medium,0.403551807833,3.0,M,Left,0.0868220584973852,0.9131779415026149
188,sales,1,0.925479635028,6,0,low,0.481408601913,5.0,M,Employed,0.6768906420430703,0.32310935795692974
191,support,0,0.946723810178,5,0,low,0.925337129205,4.0,F,Employed,0.8332190411537442,0.16678095884625582
290,engineering,0,0.770247874835,6,0,medium,0.0903427928993,4.0,M,Left,0.01396086515181278,0.9860391348481873
253,sales,0,0.579966136579,5,0,medium,0.627725954785,6.0,F,Employed,0.9122304850390933,0.08776951496090658
258,support,0,0.8375025132100001,5,0,medium,0.849667273388,5.0,F,Left,0.09852157923719158,0.9014784207628084
151,engineering,0,0.452832173339,4,0,medium,0.658608148415,3.0,M,Employed,0.9966095454836372,0.0033904545163626694
252,IT,0,0.919196292221,5,0,low,0.893364991385,5.0,F,Left,0.08568334102473045,0.9143166589752697
276,product,0,0.570038733441,4,0,low,0.382260201481,2.0,F,Employed,0.9657102733215124,0.03428972667848759
154,marketing,0,0.7184766791763917,2,0,low,0.422224873681,3.0,F,Left,0.11829368969568844,0.8817063103043116
259,product,0,0.763606785571,2,0,low,0.787468036595,3.0,F,Employed,0.9906744401640236,0.0093255598359763
136,marketing,0,0.7184766791763917,3,0,low,0.441057742416,3.0,M,Employed,0.8938461915448839,0.10615380845511621
176,IT,0,0.7184766791763917,3,0,low,0.871386303936,3.0,F,Employed,0.9949032798829932,0.0050967201170067245
231,support,0,0.937508765506,4,0,medium,0.668369478474,3.0,M,Employed,0.9743949271987176,0.025605072801282446
109,sales,1,0.79806865971,3,0,low,0.5378283407,3.0,F,Employed,0.9850457812654909,0.014954218734509053
130,procurement,1,0.716030369805,6,0,low,0.17545398857,6.0,F,Employed,0.8983897662963923,0.10161023370360757
163,sales,0,0.550433958621,2,0,medium,0.544376725538,3.0,M,Left,0.35860119677169455,0.6413988032283054
184,sales,0,0.762948071371,4,0,medium,0.61761099451,3.0,F,Employed,0.9923985170149507,0.007601482985049243
268,engineering,0,0.943844634761,3,0,low,0.936081051349,4.0,F,Employed,0.8728241752243338,0.12717582477566636
188,finance,0,0.862307681863,3,0,medium,1.0,4.0,F,Employed,0.9626764118756749,0.037323588124325055
107,engineering,0,0.474348552013,2,0,medium,0.615676166623,3.0,M,Employed,0.598287349350869,0.4017126506491308
156,sales,0,0.621111081488,3,0,medium,0.428014178318,3.0,M,Employed,0.8464135839758414,0.15358641602415868
234,IT,1,0.8615650350660001,4,0,medium,0.627199942868,2.0,F,Employed,0.9966720678893837,0.003327932110616276
127,sales,0,0.7184766791763917,5,0,low,0.8343801414409999,3.0,F,Employed,0.9831574587095246,0.01684254129047539
